Sterling, CO#Salida, CO
Salisbury, MD#Waterbury, CT
Terre Haute, IN#Sandusky, OH
Saint Johnsbury, VT#Rutland, VT
Waco, TX#Vicksburg, MS
Springfield, OH#Saint Joseph, MI
Saginaw, MI#Toledo, OH
Springfield, MA#Wilmington, DE
Weed, CA#Red Bluff, CA
Roswell, NM#Santa Fe, NM
Saint Cloud, MN#Wisconsin Dells, WI
Vincennes, IN#Sedalia, MO
Rockford, IL#Rhinelander, WI
Utica, NY#Worcester, MA
Tuscaloosa, AL#Tupelo, MS
Sioux Falls, SD#Sioux City, IA
Seminole, OK#Topeka, KS
Wilmington, NC#Sumter, SC
Rhinelander, WI#Traverse City, MI
Winston-Salem, NC#Washington, DC
Toronto, ON#Warren, PA
Salt Lake City, UT#Walla Walla, WA
Salida, CO#Sheridan, WY
Valley City, ND#Wausau, WI
Sioux City, IA#Yankton, SD
Richmond, VA#Trenton, NJ
Staunton, VA#Winchester, VA
Springfield, MO#Sherman, TX
Winnipeg, MB#Saint Cloud, MN
Williamson, WV#Roanoke, VA
Saint Louis, MO#Springfield, IL
Twin Falls, ID#Weed, CA
Rockford, IL#Wisconsin Dells, WI
Rutland, VT#Schenectady, NY
Rock Springs, WY#Salt Lake City, UT
Wheeling, WV#Staunton, VA
Sheridan, WY#Rock Springs, WY
Reading, PA#Wilmington, DE
Waco, TX#Tyler, TX
Santa Fe, NM#Sherman, TX
Salt Lake City, UT#Richfield, UT
Wilmington, NC#Salisbury, MD
Weed, CA#Sacramento, CA
Schenectady, NY#Rutland, VT
Sioux City, IA#Wichita, KS
Tucson, AZ#San Diego, CA
Yankton, SD#Valley City, ND
Waterbury, CT#Saint Johnsbury, VT
Saint Paul, MN#Saint Cloud, MN
Toledo, OH#Warren, PA
Sault Sainte Marie, MI#Saginaw, MI
Wichita, KS#Yankton, SD
Wausau, WI#Stevens Point, WI
Tampa, FL#Saint Augustine, FL
Wichita, KS#Topeka, KS
Tacoma, WA#Yakima, WA
Uniontown, PA#Wheeling, WV
Springfield, MA#Waterbury, CT
Williamsport, PA#Scranton, PA
Swainsboro, GA#Savannah, GA
San Jose, CA#San Bernardino, CA
Traverse City, MI#Sault Sainte Marie, MI
Victoria, TX#San Antonio, TX
Waterbury, CT#Springfield, MA
Rutland, VT#Saint Johnsbury, VT
Springfield, OH#Richmond, IN
Steubenville, OH#Wheeling, WV
Richmond, IN#Terre Haute, IN
Scottsbluff, NE#Sterling, CO
San Antonio, TX#Tulsa, OK
Rocky Mount, NC#Richmond, VA
Sarasota, FL#Tampa, FL
Sarasota, FL#West Palm Beach, FL
Tulsa, OK#Seminole, OK
Santa Barbara, CA#San Bernardino, CA
Warren, PA#Youngstown, OH
Wilmington, NC#Rocky Mount, NC
Tucson, AZ#Salt Lake City, UT
Wheeling, WV#Steubenville, OH
Sedalia, MO#Terre Haute, IN
Wenatchee, WA#Yakima, WA
Williamson, WV#Winston-Salem, NC
Sandusky, OH#Toledo, OH
Salina, KS#Topeka, KS
Reno, NV#Stockton, CA
Washington, DC#Wilmington, DE
Salina, KS#Wichita, KS
Rochester, MN#Saint Paul, MN
Tyler, TX#Waco, TX
Williamson, WV#Youngstown, OH
Wilmington, DE#Springfield, MA
Utica, NY#Syracuse, NY
Walla Walla, WA#Yakima, WA
Tyler, TX#Shreveport, LA
Saginaw, MI#Traverse City, MI
Uniontown, PA#Springfield, OH
